Date,Province,Country/Region,#Confirmed,#Recovered,#Admit_HT,#Critical,#Death,#New Case
1/10/2020,ALL,Thailand,0,0,0,0,0,0
1/11/2020,ALL,Thailand,0,0,0,0,0,0
1/12/2020,ALL,Thailand,0,0,0,0,0,0
1/13/2020,ALL,Thailand,0,0,0,0,0,0
1/14/2020,ALL,Thailand,0,0,0,0,0,0
1/15/2020,ALL,Thailand,0,0,0,0,0,0
1/16/2020,ALL,Thailand,1,0,1,0,0,1
1/17/2020,ALL,Thailand,2,0,2,0,0,1
1/18/2020,ALL,Thailand,2,0,2,0,0,0
1/19/2020,ALL,Thailand,2,0,2,0,0,0
1/20/2020,ALL,Thailand,2,0,2,0,0,0
1/21/2020,ALL,Thailand,2,0,2,0,0,0
1/22/2020,ALL,Thailand,4,0,4,0,0,2
1/23/2020,ALL,Thailand,4,0,4,0,0,0
1/24/2020,ALL,Thailand,5,0,5,0,0,1
1/25/2020,ALL,Thailand,5,0,5,0,0,0
1/26/2020,ALL,Thailand,8,0,8,0,0,3
1/27/2020,ALL,Thailand,8,0,8,0,0,0
1/28/2020,ALL,Thailand,14,0,14,0,0,6
1/29/2020,ALL,Thailand,14,0,14,0,0,0
1/30/2020,ALL,Thailand,14,6,8,0,0,0
1/31/2020,ALL,Thailand,19,7,12,0,0,5
2/1/2020,ALL,Thailand,19,8,11,0,0,0
2/2/2020,ALL,Thailand,19,8,11,0,0,0
2/3/2020,ALL,Thailand,19,8,11,0,0,0
2/4/2020,ALL,Thailand,25,8,17,0,0,6
2/5/2020,ALL,Thailand,25,9,16,0,0,0
2/6/2020,ALL,Thailand,25,9,16,0,0,0
2/7/2020,ALL,Thailand,25,10,15,0,0,0
2/8/2020,ALL,Thailand,32,10,22,0,0,7
2/9/2020,ALL,Thailand,32,10,22,1,0,0
2/10/2020,ALL,Thailand,32,10,22,1,0,0
2/11/2020,ALL,Thailand,33,10,23,1,0,1
2/12/2020,ALL,Thailand,33,11,22,1,0,0
2/13/2020,ALL,Thailand,33,12,21,1,0,0
2/14/2020,ALL,Thailand,33,13,20,1,0,0
2/15/2020,ALL,Thailand,34,14,20,2,0,1
2/16/2020,ALL,Thailand,34,15,19,2,0,0
2/17/2020,ALL,Thailand,35,15,20,2,0,1
2/18/2020,ALL,Thailand,35,17,18,2,0,0
2/19/2020,ALL,Thailand,35,17,18,2,0,0
2/20/2020,ALL,Thailand,35,19,16,2,0,0
2/21/2020,ALL,Thailand,35,20,15,2,0,0
2/22/2020,ALL,Thailand,35,21,14,2,0,0
2/23/2020,ALL,Thailand,35,21,14,2,0,0
2/24/2020,ALL,Thailand,35,21,14,2,0,0
2/25/2020,ALL,Thailand,37,24,13,2,0,2
2/26/2020,ALL,Thailand,40,27,13,2,0,3
2/27/2020,ALL,Thailand,40,28,12,2,0,0
2/28/2020,ALL,Thailand,41,28,13,2,0,1
2/29/2020,ALL,Thailand,42,29,13,2,0,1
3/1/2020,ALL,Thailand,42,31,10,1,1,0
3/2/2020,ALL,Thailand,43,31,11,1,1,1
3/3/2020,ALL,Thailand,43,31,11,1,1,0
3/4/2020,ALL,Thailand,43,31,11,1,1,0
3/5/2020,ALL,Thailand,47,31,15,1,1,4
3/6/2020,ALL,Thailand,48,31,16,1,1,1
3/7/2020,ALL,Thailand,50,33,16,1,1,2
3/8/2020,ALL,Thailand,50,33,16,1,1,0
3/9/2020,ALL,Thailand,50,33,16,1,1,0
3/10/2020,ALL,Thailand,53,34,18,1,1,3
3/11/2020,ALL,Thailand,59,35,23,1,1,6
3/12/2020,ALL,Thailand,70,34,35,1,1,11
3/13/2020,ALL,Thailand,75,35,39,1,1,5
3/14/2020,ALL,Thailand,82,37,44,1,1,7
3/15/2020,ALL,Thailand,114,37,76,1,1,32
3/16/2020,ALL,Thailand,147,41,105,1,1,33
3/17/2020,ALL,Thailand,177,42,134,1,1,30
3/18/2020,ALL,Thailand,212,42,169,3,1,35
3/19/2020,ALL,Thailand,272,43,228,3,1,60
3/20/2020,ALL,Thailand,322,44,277,3,1,50
3/21/2020,ALL,Thailand,411,45,365,7,1,89
3/22/2020,ALL,Thailand,599,52,546,7,1,188
3/23/2020,ALL,Thailand,721,57,663,7,1,122
3/24/2020,ALL,Thailand,827,70,753,4,4,106
3/25/2020,ALL,Thailand,934,88,842,7,4,107
3/26/2020,ALL,Thailand,1045,97,944,12,4,111
3/27/2020,ALL,Thailand,1136,100,1031,14,5,91
3/28/2020,ALL,Thailand,1245,111,1128,19,6,109
3/29/2020,ALL,Thailand,1388,127,1254,23,7,143
3/30/2020,ALL,Thailand,1524,342,1173,23,9,136
3/31/2020,ALL,Thailand,1651,416,1225,23,10,127
4/1/2020,ALL,Thailand,,,0,,,
